Ra: Va                    Vw
10: 282.274841            0.000615
20: 199.547134            0.001229
30: 162.887695            0.001844
40: 141.028656            0.002459
50: 126.107491            0.003073
60: 115.090324            0.003688
70: 106.525620            0.004303
80: 99.620056            0.004917
90: 93.898636            0.005532
100: 89.057259            0.006147
110: 84.891037            0.006761
120: 81.256195            0.007376
130: 78.048470            0.007990
140: 75.190170            0.008605
150: 72.622055            0.009220
160: 70.298058            0.009834
170: 68.181732            0.010449
180: 66.243843            0.011064
190: 64.460594            0.011678
200: 62.812412            0.012293
210: 61.283031            0.012908
220: 59.858803            0.013522
230: 58.528175            0.014137
240: 57.281300            0.014752
250: 56.109726            0.015366
260: 55.006142            0.015981
270: 53.964203            0.016596
280: 52.978348            0.017210
290: 52.043716            0.017825
300: 51.156006            0.018440
310: 50.311398            0.019054
320: 49.506504            0.019669
330: 48.738304            0.020283
340: 48.004070            0.020898
350: 47.301369            0.021513
360: 46.627995            0.022127
370: 45.981956            0.022742
380: 45.361443            0.023357
390: 44.764816            0.023971
400: 44.190571            0.024586
410: 43.637333            0.025201
420: 43.103851            0.025815
430: 42.588970            0.026430
440: 42.091629            0.027045
450: 41.610851            0.027659
460: 41.145729            0.028274
470: 40.695427            0.028889
480: 40.259171            0.029503
490: 39.836246            0.030118
500: 39.425976            0.030733
510: 39.027744            0.031347
520: 38.640972            0.031962
530: 38.265110            0.032577
540: 37.899658            0.033191
550: 37.544136            0.033806
560: 37.198101            0.034420
570: 36.861145            0.035035
580: 36.532864            0.035650
590: 36.212894            0.036264
600: 35.900887            0.036879
610: 35.596516            0.037494
620: 35.299477            0.038108
630: 35.009476            0.038723
640: 34.726234            0.039338
650: 34.449493            0.039952
660: 34.179008            0.040567
670: 33.914543            0.041182
680: 33.655876            0.041796
690: 33.402802            0.042411
700: 33.155113            0.043026
710: 32.912628            0.043640
720: 32.675159            0.044255
730: 32.442535            0.044870
740: 32.214596            0.045484
750: 31.991182            0.046099
760: 31.772148            0.046714
770: 31.557348            0.047328
780: 31.346649            0.047943
790: 31.139919            0.048557
800: 30.937035            0.049172
810: 30.737875            0.049787
820: 30.542332            0.050401
830: 30.350294            0.051016
840: 30.161652            0.051631
850: 29.976315            0.052245
860: 29.794180            0.052860
870: 29.615158            0.053475
880: 29.439161            0.054089
890: 29.266102            0.054704
900: 29.095901            0.055319
910: 28.928480            0.055933
920: 28.763762            0.056548
930: 28.601675            0.057163
940: 28.442148            0.057777
950: 28.285116            0.058392
960: 28.130510            0.059007
970: 27.978273            0.059621
980: 27.828342            0.060236
990: 27.680660            0.060850
1000: 27.535168            0.061465
1010: 27.391815            0.062080
1020: 27.250547            0.062694
1030: 27.111313            0.063309
1040: 26.974064            0.063924
1050: 26.838755            0.064538
1060: 26.705339            0.065153
1070: 26.573772            0.065768
1080: 26.444012            0.066382
1090: 26.316015            0.066997
1100: 26.189745            0.067612
1110: 26.065159            0.068226
1120: 25.942223            0.068841
1130: 25.820898            0.069456
1140: 25.701151            0.070070
1150: 25.582947            0.070685
1160: 25.466249            0.071300
1170: 25.351032            0.071914
1180: 25.237261            0.072529
1190: 25.124905            0.073144
1200: 25.013933            0.073758
1210: 24.904322            0.074373
1220: 24.796040            0.074987
1230: 24.689060            0.075602
1240: 24.583359            0.076217
1250: 24.478909            0.076831
1260: 24.375683            0.077446
1270: 24.273663            0.078061
1280: 24.172821            0.078675
1290: 24.073135            0.079290
1300: 23.974583            0.079905
1310: 23.877144            0.080519
